Series Name,Cantidad
Monetary Sector credit to private sector (% GDP),128
"External debt stocks, total (DOD, current US$)",128
"External debt stocks, short-term (DOD, current US$)",128
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",128
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",128
Net ODA received per capita (current US$),128
"Net bilateral aid flows from DAC donors, Austria (current US$)",128
"Population ages 05-09, male (% of male population)",128
Number of deaths ages 15-19 years,128
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",128
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",128
"Death rate, crude (per 1,000 people)",128
DEC alternative conversion factor (LCU per US$),128
Number of deaths ages 20-24 years,128
Number of deaths ages 5-9 years,128
Number of infant deaths,128
Number of neonatal deaths,128
Number of under-five deaths,128
"Official exchange rate (LCU per US$, period average)",128
Oil rents (% of GDP),128
"Current account balance (BoP, current US$)",128
Current account balance (% of GDP),128
Crop production index (2014-2016 = 100),128
"PPG, commercial banks (NFL, current US$)",128
"PPG, official creditors (NFL, US$)",128
"PPG, private creditors (NFL, US$)",128
"PPP conversion factor, GDP (LCU per international $)",128
Permanent cropland (% of land area),128
"Personal remittances, received (% of GDP)",128
"Personal remittances, received (current US$)",128
Population ages 0-14 (% of total population),128
"Population ages 0-14, female",128
"Population ages 0-14, female (% of female population)",128
"Population ages 0-14, male",128
"Population ages 0-14, male (% of male population)",128
"Population ages 0-14, total",128
"Population ages 00-04, female (% of female population)",128
"Population ages 00-04, male (% of male population)",128
"Debt service on external debt, total (TDS, current US$)",128
Number of deaths ages 10-14 years,128
"Net bilateral aid flows from DAC donors, Canada (current US$)",128
"Net trade in goods and services (BoP, current US$)",128
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",128
"Net bilateral aid flows from DAC donors, France (current US$)",128
"Net bilateral aid flows from DAC donors, Germany (current US$)",128
"Net bilateral aid flows from DAC donors, Italy (current US$)",128
"Net bilateral aid flows from DAC donors, Japan (current US$)",128
"Net bilateral aid flows from DAC donors, Spain (current US$)",128
"Net bilateral aid flows from DAC donors, Sweden (current US$)",128
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",128
"Net bilateral aid flows from DAC donors, Total (current US$)",128
Net domestic credit (current LCU),128
"Net errors and omissions (BoP, current US$)",128
"Net financial account (BoP, current US$)",128
"Net financial flows, RDB nonconcessional (NFL, current US$)",128
"Net financial flows, bilateral (NFL, current US$)",128
"Net financial flows, multilateral (NFL, current US$)",128
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",128
Net foreign assets (current LCU),128
Net migration,128
Net official development assistance and official aid received (constant 2020 US$),128
Net official development assistance and official aid received (current US$),128
Net official development assistance received (constant 2020 US$),128
"Net official flows from UN agencies, UNICEF (current US$)",128
"Net primary income (BoP, current US$)",128
Net primary income (Net income from abroad) (current LCU),128
Domestic credit to private sector by banks (% of GDP),128
Net primary income (Net income from abroad) (current US$),128
"Net secondary income (BoP, current US$)",128
Discrepancy in expenditure estimate of GDP (current LCU),128
"Net trade in goods (BoP, current US$)",128
Forest area (% of land area),128
Forest area (sq. km),128
Forest rents (% of GDP),128
"Imports of goods and services (BoP, current US$)",128
Import volume index (2015 = 100),128
Import value index (2015 = 100),128
Import unit value index (2015 = 100),128
"Immunization, measles (% of children ages 12-23 months)",128
"Life expectancy at birth, female (years)",128
"Immunization, DPT (% of children ages 12-23 months)",128
"IFC, private nonguaranteed (NFL, US$)",128
"Life expectancy at birth, male (years)",128
"Life expectancy at birth, total (years)",128
"IBRD loans and IDA credits (DOD, current US$)",128
Livestock production index (2014-2016 = 100),128
"Survival to age 65, male (% of cohort)",128
Lower secondary school starting age (years),128
Households and NPISHs final consumption expenditure: linked series (current LCU),128
Households and NPISHs final consumption expenditure (% of GDP),128
Households and NPISHs Final consumption expenditure (current US$),128
Households and NPISHs Final consumption expenditure (current LCU),128
"Manufacturing, value added (% of GDP)",128
Gross value added at basic prices (GVA) (current US$),128
Gross value added at basic prices (GVA) (current LCU),128
Gross value added at basic prices (GVA) (constant LCU),128
Gross value added at basic prices (GVA) (constant 2015 US$),128
Gross savings (current US$),128
Gross savings (current LCU),128
Gross savings (% of GNI),128
Gross savings (% of GDP),128
Gross national expenditure deflator (base year varies by country),128
Gross national expenditure (current US$),128
Gross national expenditure (current LCU),128
Imports of goods and services (% of GDP),128
Imports of goods and services (annual % growth),128
Merchandise imports (current US$),128
Imports of goods and services (constant 2015 US$),128
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",128
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",128
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",128
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",128
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",128
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",128
"Inflation, GDP deflator: linked series (annual %)",128
"Inflation, GDP deflator (annual %)",128
"Industry (including construction), value added (current US$)",128
"Industry (including construction), value added (current LCU)",128
"Industry (including construction), value added (constant LCU)",128
"Industry (including construction), value added (constant 2015 US$)",128
"Industry (including construction), value added (annual % growth)",128
"Industry (including construction), value added (% of GDP)",128
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",128
Individuals using the Internet (% of population),128
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",128
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",128
"Labor force, female (% of total labor force)",128
"Labor force, total",128
Land area (sq. km),128
Land under cereal production (hectares),128
"Incidence of HIV, all (per 1,000 uninfected population)",128
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",128
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",128
"Imports of goods, services and primary income (BoP, current US$)",128
Imports of goods and services (current US$),128
Imports of goods and services (current LCU),128
Imports of goods and services (constant LCU),128
Gross national expenditure (constant LCU),128
Gross national expenditure (constant 2015 US$),128
Gross national expenditure (% of GDP),128
"Manufacturing, value added (annual % growth)",128
"GNI per capita, PPP (current international $)",128
"GNI per capita, PPP (constant 2017 international $)",128
"GNI per capita, Atlas method (current US$)",128
GNI per capita growth (annual %),128
GNI per capita (current LCU),128
GNI per capita (constant LCU),128
GNI per capita (constant 2015 US$),128
GNI growth (annual %),128
GNI (current US$),128
GNI (current LCU),128
GNI (constant LCU),128
GNI (constant 2015 US$),128
GDP: linked series (current LCU),128
"GDP, PPP (current international $)",128
"GDP, PPP (constant 2017 international $)",128
"GDP per capita, PPP (current international $)",128
"GDP per capita, PPP (constant 2017 international $)",128
GDP per capita growth (annual %),128
GDP per capita (current US$),128
GDP per capita (current LCU),128
GDP per capita (constant LCU),128
GDP per capita (constant 2015 US$),128
GDP growth (annual %),128
GDP deflator: linked series (base year varies by country),128
GDP deflator (base year varies by country),128
GDP (current US$),128
GDP (current LCU),128
GDP (constant LCU),128
GDP (constant 2015 US$),128
"GNI, Atlas method (current US$)",128
"GNI, PPP (constant 2017 international $)",128
"GNI, PPP (current international $)",128
Gross capital formation (current LCU),128
"Manufacturing, value added (constant 2015 US$)",128
"Manufacturing, value added (constant LCU)",128
Gross fixed capital formation (current US$),128
Gross fixed capital formation (current LCU),128
Gross fixed capital formation (constant LCU),128
Gross fixed capital formation (constant 2015 US$),128
Gross fixed capital formation (annual % growth),128
Gross fixed capital formation (% of GDP),128
Gross domestic savings (current US$),128
Gross domestic savings (current LCU),128
Gross domestic savings (% of GDP),128
Gross domestic income (constant LCU),128
Gross capital formation (current US$),128
Gross capital formation (constant LCU),128
GNI: linked series (current LCU),128
Gross capital formation (constant 2015 US$),128
Gross capital formation (annual % growth),128
Gross capital formation (% of GDP),128
"Grants, excluding technical cooperation (BoP, current US$)",128
"Manufacturing, value added (current LCU)",128
"Manufacturing, value added (current US$)",128
"Survival to age 65, female (% of cohort)",128
Merchandise exports (current US$),128
"Goods imports (BoP, current US$)",128
"Goods exports (BoP, current US$)",128
General government final consumption expenditure (current US$),128
General government final consumption expenditure (current LCU),128
General government final consumption expenditure (% of GDP),128
"Population ages 05-09, female (% of female population)",128
Net official development assistance received (current US$),128
"Population ages 10-14, female (% of female population)",128
Cereal production (metric tons),128
"Population, male",128
"Transport services (% of service imports, BoP)",128
Travel services (% of commercial service exports),128
Travel services (% of commercial service imports),128
Capture fisheries production (metric tons),128
"Travel services (% of service exports, BoP)",128
"Travel services (% of service imports, BoP)",128
"Population, male (% of total population)",128
"Population, total",128
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,128
Short-term debt (% of total external debt),128
Adults (ages 15-49) newly infected with HIV,128
Age dependency ratio (% of working-age population),128
"Age dependency ratio, old (% of working-age population)",128
"Age dependency ratio, young (% of working-age population)",128
Agricultural land (% of land area),128
"Short-term debt (% of exports of goods, services and primary income)",128
"Prevalence of HIV, female (% ages 15-24)",128
Agricultural land (sq. km),128
"Population, female (% of total population)",128
Cereal yield (kg per hectare),128
"Prevalence of HIV, male (% ages 15-24)",128
Changes in inventories (current LCU),128
"Population ages 75-79, male (% of male population)",128
"Population ages 80 and above, female (% of female population)",128
"Population ages 80 and above, male (% of male population)",128
Children (ages 0-14) newly infected with HIV,128
Population density (people per sq. km of land area),128
"Use of IMF credit (DOD, current US$)",128
Population growth (annual %),128
Population in largest city,128
Population in the largest city (% of urban population),128
Population in urban agglomerations of more than 1 million,128
Population in urban agglomerations of more than 1 million (% of total population),128
Short-term debt (% of total reserves),128
Transport services (% of commercial service exports),128
Transport services (% of commercial service imports),128
"Transport services (% of service exports, BoP)",128
"Adolescent fertility rate (births per 1,000 women ages 15-19)",128
"Population, female",128
"Charges for the use of intellectual property, payments (BoP, current US$)",128
Changes in inventories (current US$),128
Refugee population by country or territory of asylum,128
"Prevalence of HIV, total (% of population ages 15-49)",128
"Population ages 70-74, male (% of male population)",128
Arable land (hectares),128
"Birth rate, crude (per 1,000 people)",128
"Services, value added (current US$)",128
"Services, value added (current LCU)",128
"Services, value added (constant LCU)",128
"Services, value added (constant 2015 US$)",128
"Services, value added (annual % growth)",128
"Services, value added (% of GDP)",128
"Probability of dying among youth ages 20-24 years (per 1,000)",128
"Probability of dying among children ages 5-9 years (per 1,000)",128
"Service imports (BoP, current US$)",128
Price level ratio of PPP conversion factor (GDP) to market exchange rate,128
"Primary education, duration (years)",128
"Probability of dying among adolescents ages 15-19 years (per 1,000)",128
"Primary income payments (BoP, current US$)",128
"Probability of dying among adolescents ages 10-14 years (per 1,000)",128
"Primary income receipts (BoP, current US$)",128
Urban population,128
Urban population (% of total population),128
Urban population growth (annual %),128
Sex ratio at birth (male births per female births),128
Arable land (hectares per person),128
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),128
Arable land (% of land area),128
"Agriculture, forestry, and fishing, value added (% of GDP)",128
"Agriculture, forestry, and fishing, value added (annual % growth)",128
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",128
"Agriculture, forestry, and fishing, value added (constant LCU)",128
"Agriculture, forestry, and fishing, value added (current LCU)",128
"Agriculture, forestry, and fishing, value added (current US$)",128
"Air transport, freight (million ton-km)",128
"Air transport, passengers carried",128
"Air transport, registered carrier departures worldwide",128
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",128
Public and publicly guaranteed debt service (% of GNI),128
"Secondary income receipts (BoP, current US$)",128
"Secondary income, other sectors, payments (BoP, current US$)",128
"Service exports (BoP, current US$)",128
"Population ages 10-14, male (% of male population)",128
Broad money to total reserves ratio,128
Broad money (current LCU),128
Broad money (% of GDP),128
Aquaculture production (metric tons),128
"Population ages 75-79, female (% of female population)",128
Primary school starting age (years),128
"Population ages 55-59, female (% of female population)",128
Population ages 65 and above (% of total population),128
Commercial service imports (current US$),128
Commercial service exports (current US$),128
Trade (% of GDP),128
"Population ages 65 and above, female (% of female population)",128
Total reserves minus gold (current US$),128
Rural population growth (annual %),128
"Population ages 30-34, female (% of female population)",128
Total reserves in months of imports,128
"Total reserves (includes gold, current US$)",128
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",128
Total reserves (% of total external debt),128
"Computer, communications and other services (% of commercial service exports)",128
"Population ages 65 and above, female",128
"Population ages 60-64, male (% of male population)",128
"Claims on central government, etc. (% GDP)",128
"Population ages 60-64, female (% of female population)",128
"Population ages 55-59, male (% of male population)",128
Rural population (% of total population),128
"Reserves and related items (BoP, current US$)",128
"Secondary education, duration (years)",128
Rural population,128
"Population ages 45-49, female (% of female population)",128
"Population ages 45-49, male (% of male population)",128
"Population ages 70-74, female (% of female population)",128
Coal rents (% of GDP),128
"Population ages 50-54, female (% of female population)",128
"Population ages 50-54, male (% of male population)",128
"Computer, communications and other services (% of commercial service imports)",128
"Communications, computer, etc. (% of service exports, BoP)",128
Trade in services (% of GDP),128
"Population ages 65 and above, male",128
"Population ages 15-64, male (% of male population)",128
"Population ages 65-69, male (% of male population)",128
"Population ages 15-19, female (% of female population)",128
"Population ages 65-69, female (% of female population)",128
"Population ages 15-19, male (% of male population)",128
Population ages 15-64 (% of total population),128
"Population ages 15-64, female",128
"Population ages 15-64, female (% of female population)",128
"Population ages 30-34, male (% of male population)",128
"Population ages 35-39, female (% of female population)",128
Total debt service (% of GNI),128
"Total debt service (% of exports of goods, services and primary income)",128
Total fisheries production (metric tons),128
"Communications, computer, etc. (% of service imports, BoP)",128
"Population ages 15-64, male",128
Women's share of population ages 15+ living with HIV (%),128
Women Business and the Law Index Score (scale 1-100),128
"Population ages 65 and above, male (% of male population)",128
"Population ages 65 and above, total",128
"Population ages 25-29, male (% of male population)",128
"Population ages 40-44, male (% of male population)",128
"Population ages 35-39, male (% of male population)",128
"Population ages 25-29, female (% of female population)",128
"Population ages 20-24, male (% of male population)",128
"Population ages 40-44, female (% of female population)",128
"Population ages 20-24, female (% of female population)",128
"Population ages 15-64, total",128
Total natural resources rents (% of GDP),128
