Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.67,..,..,44.63,..,..,38.06,..,..,..,65.23
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.27,..,..,52.27,..,..,43.05,..,..,..,57.1
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.06,..,..,53.9,..,..,55.79,..,..,..,75.82
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.87,..,..,48.9,..,..,52.28,..,..,..,79.69
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.54,..,..,24.49,..,..,33.11,..,..,..,75.37
Argentina,ARG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.1950496263914,..,..,..,39.6634007635173,32.5162579141245,35.7393513105137,42.8277408552611,41.1077089129823,..,42.0915907133739,44.8928037030482,44.0031982945349,43.8143441556179,..,..
Argentina,ARG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.860254835823,..,..,..,37.0139554841883,29.8767149932002,32.7864583220457,38.150376132637,38.585603446258,..,39.5254494096802,40.437905879588,39.5780983833536,40.0545300501292,..,..
Argentina,ARG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.6710903057301,..,..,..,10.9621758748799,11.3343497372497,10.4701654975154,11.3135759745517,15.3433027130018,..,13.0350725165158,9.62710174078375,10.5718842589501,12.6130308369275,..,..
Argentina,ARG,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.5215949236643,..,..,..,10.8666234585669,7.148708960209,9.28141254956263,..,..,..,..,..,..,11.2678225503691,..,..
Argentina,ARG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,96.1759,..,..,..,..,..,100,99.7343,99.62729,99.35688,99.43632,99.45558,99.42561,99.13676,99.34854,99.52115,99.65259,99.52275,99.51247,99.13102,99.21521,99.26778,99.44548,99.7727,99.83682,99.4496,99.48052,..,..,..,..
Argentina,ARG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,96.00714,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,96.34115,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.414072215240679,15.5105372274296,14.2629961034059,5.13302567163892,4.90892984228535,-4.95641796998861,7.07844490587277,7.4029373618353,3.14058983432855,-5.91164211403861,-0.782956771276147,-5.01709831999274,-11.3581599472008,10.7690154732008,-0.801495360738997,7.82674905316718,21.0811375714392,12.3794759172502,5.96577622077403,-7.44722210433302,11.254859934036,9.1566972133231,-1.55697411843192,2.10308369563433,-3.40009167257504,5.13244184925927,-2.09463378335074,5.69891646133007,-5.60447732716968,-4.2380086726865,-7.21329749070472,..
Argentina,ARG,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,199731322230.388,230710723319.769,263616984797.008,277148512301.439,290753538329.254,276342577707.125,295903334821.592,317808873350.017,327789946519.041,308412177995.037,305997443963.985,290645251343.647,257633298817.092,285377868630.822,283090578253.17,305247367406.206,369596984862.304,415351154594.216,440130075007.708,407352610773.917,453199576554.16,494697689551.287,486995374560.492,497237294881.367,480330771025.169,504983468532.134,494405914199.924,522581694230.052,493293721660.99,472387890955.179,438313147070.516,..
Argentina,ARG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,120476058521.556,166731781698.226,203874162739.821,210416538710.269,226660485203.767,222414161644.58,236375898479.545,252739842411.327,257207915602.207,238884218717.109,237659381124.75,223566966151.659,74851512162.7165,101636867120.234,121896063333.372,147089753394.708,191369799309.218,242036523892.509,303834336041.639,277268785233.569,351469926202.716,441167988088.882,452034789622.237,457947074633.198,436577156654.803,504983468532.134,470668912836.887,550285828305.081,436649416740.588,371323128176.697,327255215138.132,..
Argentina,ARG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-1.03776291347957,13.8772513388251,12.6886186967633,3.71500505647508,3.50525673358615,-6.20045529004155,5.73728665437849,6.12364607290179,1.95292947335189,-6.98936143884453,-1.90101341852869,-6.05540642051402,-12.3046744057822,9.63136196225732,-1.80359820004759,6.7181237957536,19.8348041125684,11.2542751785242,4.91948381540219,-8.38122529415624,10.9708751567258,7.90528441704019,-2.66984037790708,0.966808630859191,-4.45635284809352,4.0051994728682,-3.12421939465929,4.60834230281147,-6.55850119704618,-5.18459642018371,-8.10902704772269,..
Argentina,ARG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,6119.65871907986,6968.8991406049,7853.15617991827,8144.90132909512,8430.40103137717,7907.67778465543,8361.36392686572,8873.38426061426,9046.67519712356,8414.37036939829,8254.41205959133,7754.57386175915,6800.3987965138,7455.36981948303,7320.90490361195,7812.73235800599,9362.37251705573,10416.0396833637,10928.4550697926,10012.5166292227,11110.9773286611,11989.3316880046,11669.2356695571,11782.0548471657,11257.0049104201,11707.8704117529,11342.0908536474,11864.7732244793,11086.621930525,10511.8253267957,9659.4185678365,..
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3691.32068890717,5036.33707817657,6073.41610510698,6183.76743780186,6572.02247379162,6364.48982861268,6679.29245176969,7056.62405219523,7098.68162612232,6517.447867193,6410.96355648657,5964.88861957229,1975.75443689039,2655.2179232064,3152.31080205787,3764.72657452506,4847.64601181634,6069.71236218369,7544.22403429982,6815.12343235299,8616.89768432051,10692.0033205025,10831.5207217339,10851.0717236419,10231.5976670644,11707.8704117529,10797.5439169701,12493.7720428652,9813.55891432582,8262.87874420382,7211.95593299884,..
Argentina,ARG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,6.14058654815449,5.96337147540878,6.94843602997376,9.29359252738764,8.53573227875488,7.53025291200874,8.73076027439676,7.50877253239687,7.75916726318262,4.16016709809317,4.24553362118183,4.27936132644584,4.9186686288869,7.55083652226679,0.19163807238114,0.609399426269471,9.14195869054951,11.592930594292,10.6531360426982,8.16516108988444,7.197838583159,7.36581090560579,5.61310979362422,4.41422219919333,4.78671067986339,5.15983189234022,5.18627805666366,5.10468167900822,1.74122265011232,3.79289057777698,8.70753462317664,..
Argentina,ARG,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,8289791840.00856,10972603514.7522,15633981067.441,21747006514.0871,21680759988.0374,19051539867.3821,23311129932.6393,21550177167.979,22656768408.4933,11482061190.7371,11760128130.6737,11169133062.0236,4562743390.133,9212020557.16549,279791585.676465,1072542990.23427,20569407053.7364,32460205664.0176,37605570230.7248,26373470320.3267,29439159805.1203,37933926163.8698,29861744102.0809,23792657653.652,24651560001.2965,30133418251.2669,28265215408.8169,32006354127.3816,8810586609.56833,16461145107.5521,33001556221.8395,..
Argentina,ARG,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,5.84019533835493,5.68277807275674,6.68680353360742,9.05606150899791,8.31542963457604,7.30235161242803,8.51898180244211,7.32077879444622,7.5843871404554,3.98660024528843,4.08187082113023,4.11072106241218,4.73695786620161,7.3965391652879,0.0540627349808014,0.490515673204133,9.0444904906805,11.4983317824428,10.5566700715458,8.05284524901703,7.0886491106907,7.25388660866376,5.49293487003216,4.28730808026847,4.64897830599121,5.0199064004834,5.03893300278404,4.96411397767305,1.59562050263532,3.64231856511131,8.54564336086007,..
Argentina,ARG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,7884263706.77915,10456311653.8724,15045307950.6167,21191183931.0551,21121191271.8231,18474949579.4429,22745681412.5204,21010635140.0607,22146410450.1298,11003016676.9961,11306782174.5307,10728981972.8958,4394181601.58536,9023777781.65124,78931593.07197,863307584.839273,20350103604.0311,32195328990.8397,37265045352.5565,26010690154.325,28992574862.725,37357516034.6184,29222413508.5711,23108590552.6471,23942238275.8547,29316253378.8231,27462184865.173,31124994640.01,8073839743.33474,15807662572.5831,32387988337.6597,..
Argentina,ARG,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.89922933966452,0.736264473083628,0.643801325502402,0.668936185547787,0.660972250287109,0.691872941184946,0.760011702961097,0.734918784441728,0.783370503386447,0.866388656294035,0.89418474443207,0.93171831671869,2.5562019110269,2.2279339590723,2.14301534979164,1.93392224686017,1.69995059088078,1.51719415517537,1.28194997249693,1.34697775642163,1.18031303633133,1.02526529502164,1.04930158795818,1.10567629980907,1.17790953591603,1.11114973312636,1.2120933759266,1.07489103012484,1.37369739799779,1.63219454426866,1.75280950118357,..
Argentina,ARG,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,1213959608.5471,1354726630.47388,1448552982.3804,1565310674.18182,1678869515.72926,1750438541.19791,2029231246.90613,2109216911.34776,2287441869.88843,2391232691.37154,2476891742.07683,2431784806.63578,2371229748.00251,2718079430.06821,3128802410.6958,3403703154.4739,3824888829.48175,4248143634.49103,4525283402.91418,4350738153.24187,4827480318.59515,5280116269.36147,5582284447.93753,5959595255.97089,6066234109.96754,6489114441.45793,6605908898.79999,6739566758.88275,6950908833.86881,7083724322.12598,6643148009.48575,..
Argentina,ARG,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,8.786655567239,8.52747417736094,8.46356992007765,9.14366501884695,9.90157507418679,11.0700429898599,10.1137623789596,10.7328510295923,11.2631816550636,12.3189613265332,12.2881948931764,12.7546901742284,14.5025217462244,12.4236129469002,12.0369008008267,11.1629591264007,9.78420716411796,9.45425678037617,9.79788504898639,11.7295350515128,11.4403197041378,11.3783925066828,12.3455752409357,12.714050945275,13.1464268982983,12.7149905016989,12.9806939759071,11.4072696236742,12.0591990991132,12.6961469603576,12.3453328674546,..
Argentina,ARG,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,11861985015.7726,15690552486.3441,19043032320.1747,21396176144.1019,25150000688.4345,28007208764.3456,27003745551.8222,30803282454.9298,32888490432.7858,34000333261.2317,34038299854.0985,33289741354.7362,13453088677.1326,15156807795.2182,17573875169.207,19646808062.4653,22014466119.2654,26471918985.0533,34586534222.922,37886398216.3862,46790907589.9236,58598721409.4167,65678460281.7782,68528734595.0321,67704098526.2361,74255544529.9215,70744782168.6938,71523580540.4371,61019547441.513,55101277807.9519,46788811567.653,..
Argentina,ARG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1,2.1010855,3.1,3.6,4.1,3.4713688,3.5,3.1765508,3.94408773088182,4.44,4.6,4.92,4.3,3.74,3.3,3.48999999999999,3.68,3.86,4.25,4.81,4.52,4.86816436200952,5.21632872401903,5.24180702456873,5.09411848902158,5.25093046979301,5.06419276508803,4.9912143887054,4.9912143887054,4.9912143887054,4.9912143887054,..
Argentina,ARG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,1350000000,3865997320,6975000000,8424000000,10414000000,8782563064,9345000000,9116700796,11516736174.1749,12254400000,12742000000,12841200000,3988842928.419,4562800000,4818000000,6142399999.99999,8280000000,10808000000,15002500000,15536300000,18486800000,25071046464.349,27750868811.7813,28253339862.4255,26234710218.4611,30665433943.5912,27599850569.7298,31294914217.1829,25255544806.8493,21661870446.9814,18916702533.1935,..
Argentina,ARG,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1.94464634602345,0.849986968070708,0.921035647478642,0.93319600540724,0.858988233635941,1.01541887859071,1.35227044956121,1.20198699358296,0.64313213259944,1.11506127038983,1.91297961720919,1.58679753181064,4.68473761246698,4.15298097264443,4.32320120818344,5.12492456293028,4.8278379381935,3.85105611578343,3.94291891329824,2.24017768782195,2.29898848187176,2.62627887447921,2.40979856797022,2.17446587170933,1.93247522885544,0.764469402279271,0.56447315359702,0.757071523758743,1.52003890419348,1.61961208819674,1.13697682998729,..
Argentina,ARG,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,2625272567.13166,1563976021.2501,2072330206.82694,2183678652.65294,2181830113.43529,2569009762.83448,3610562100.32843,3449702671.58311,1877945827.19037,3077569106.27592,5298953539.66946,4141541558.02577,4345740115.57847,5066636786.6262,6311873763.94782,9019867230.75729,10862635360.9354,10782957124.1936,13918503763.9428,7235773931.6649,9402862890.85549,13525336203.5679,12820128381.6016,11720371048.5133,9952247428.60552,4464501309.31094,3076378687.10376,4746838453.96732,7691396855.21899,7029116462.77386,4309142185.65181,..
Argentina,ARG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,16.77964365,13.99429997,13.91052003,16.45896107,15.87634044,16.81590133,17.48354198,17.02576256,16.53947808,14.03128891,14.76044016,14.63492217,22.4844277,22.64597048,15.50579693,15.46612083,22.12492442,22.81373565,21.64222885,18.88042353,17.92068393,17.85609691,16.47006208,15.31971022,16.10743905,14.56261556,14.96386557,13.41810079,11.82578069,14.87426431,19.11757389,..
Argentina,ARG,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.027173255955577,0.00744010553246108,0.00465543696754403,0.00154123631466152,0.00302519463134174,0.00380230365212879,0.00366811546963442,0.0024991157353009,0.00878360884147455,0.0137242447042333,0.00121497526408995,0.00067085654354776,0.122297804730779,0.11449860485401,0.149443653063641,0.138392790948429,0.334710760258262,0.253071427944471,0.187146167562685,0.188558086185842,0.326724527262945,0.331641611287991,0.275680773380282,0.149131674073686,0.148834444729214,0.0507680870948461,0.0935644600578445,0.0707739554248995,0.126410862189761,0.125916486769042,0.170667838671103,..
Argentina,ARG,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,36683895.540029,13689794.1797284,10474733.1769741,3606492.97630796,7683994.36360802,9619828.23988584,9793868.3039239,7172462.16031357,25648137.8171057,37878915.3836838,3365481.48152917,1750935.57865965,113448077.57245,139688297.921892,218187733.472916,243571312.069236,753099210.58109,708599998.244519,660625971.496278,609042618.380269,1336303316.50544,1707954298.13315,1466621714.3831,803819723.257165,766497390.355452,296485628.633901,509926307.315252,443752700.51412,639638962.680191,546477552.577644,646831108.563479,..
Argentina,ARG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1.97181960197903,0.857427073603169,0.925691084446186,0.934737241721902,0.862013428267283,1.01922118224284,1.35593856503084,1.20448610931826,0.651915741440915,1.12878551509406,1.91419459247328,1.58746838835419,4.80703541719776,4.26747957749844,4.47264486124708,5.26331735387871,5.16254869845176,4.1041275437279,4.13006508086093,2.42873577400779,2.6257130091347,2.9579204857672,2.6854793413505,2.32359754578302,2.08130967358465,0.815237489374117,0.658037613654864,0.827845479183642,1.64644976638324,1.74552857496578,1.30764466865839,..
Argentina,ARG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Argentina,ARG,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Argentina,ARG,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,8.01163548979804,5.45597752209558,5.41792843992235,7.29726595465733,5.95871795730927,5.76997823543652,7.3467105423887,6.27162662615686,5.25036577712816,1.71534126948126,2.45391295808718,1.87854803151871,7.98190595711156,10.3062500588375,3.50729828341986,4.31663902700836,12.324457979882,13.3542522931953,11.8151510960561,7.13087462031386,6.48386462862504,6.48083232438511,4.13156199891388,2.60168902021668,2.9518114003425,1.83528864504769,1.99221628115709,2.0162037996113,-0.229844574212058,2.17939930830602,6.7767744043132,..
Argentina,ARG,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,10815707911.2274,10038998640.6559,12190338989.8253,17075602333.8981,15135143611.5655,14598044935.6544,19615717148.1778,17999568417.0702,15331068069.2142,4734341903.76828,6797338893.90148,4903010362.26384,7404318402.86743,12573625071.7818,5120655493.793,7597284687.53471,27730030454.7346,37391906420.9467,41707483369.078,23032725023.6138,26519006331.0764,33376286470.5833,21979909834.2218,14023103818.9679,15201828711.7639,10718085687.0785,10857578732.3062,12641597823.5629,-1163013545.51302,9458592998.04814,25683974992.347,..
Argentina,ARG,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,0.300391209799561,0.280593402652043,0.261632496366342,0.237531018389726,0.22030264417884,0.227901299580702,0.21177847195465,0.187993737950646,0.174780122727221,0.173566852804734,0.163662800051593,0.168640264033661,0.181710762685289,0.154297356978888,0.137575337400339,0.118883753065338,0.0974681998690107,0.0945988118492388,0.0964659711524813,0.112315840867413,0.109189472468296,0.111924296942037,0.120174923592058,0.126914118924857,0.137732373872178,0.139925491856818,0.147345053879622,0.140567701335177,0.145602147476994,0.150572012665674,0.161891262316575,..
Argentina,ARG,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,405528133.229407,516291860.879759,588673116.82427,555822583.031958,559568716.214253,576590287.939177,565448520.118915,539542027.918354,510357958.363487,479044513.741067,453345956.142914,440151089.127856,168561788.547637,188242775.514243,200859992.604495,209235405.394995,219303449.705274,264876673.177869,340524878.168259,362780166.001743,446584942.39533,576410129.25149,639330593.509746,684067101.004979,709321725.441716,817164872.443819,803030543.64394,881359487.371557,736746866.233588,653482534.969027,613567884.179818,..
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,70.928,71.979,72.151,72.502,73.516,72.81,71.39,70.424,69.307,68.268,66.54,64,63.078,60.281,62.62,64.877,64.07,66.424,66.149,66.695,67.064,68.264,68.719,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065
Argentina,ARG,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,2.92494010925293,2.44024991989136,2.02261996269226,2.21128988265991,1.97660994529724,2.25343990325928,2.74421000480652,2.92298007011414,3.14014005661011,3.2120099067688,3.36864995956421,3.15191006660461,2.35718989372253,2.67496991157532,1.81834995746613,1.48426997661591,1.20331001281738,1.0660799741745,0.712660014629364,0.745809972286224,0.686990022659302,0.599829971790314,0.709150016307831,0.964969992637634
Argentina,ARG,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,..,..,..,..,..,..,..,1.89958000183105,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,..,..,..,..,..,..,..,3.91024994850159,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,5200,6100,6600,6800,6800,6700,6600,6400,6300,5900,5700,5800,5700,5700,5700,5700,5800,5800,5700,5700,5700,5700,5700,5600,5600,5600,5500,5500,5400,5400,5200,5000
Argentina,ARG,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,4900,5700,6100,6300,6300,6100,6000,5900,5700,5400,5200,5300,5200,5200,5200,5300,5300,5400,5400,5400,5400,5400,5400,5300,5300,5300,5300,5200,5200,5100,4900,4700
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,64.2132713974083,64.0373708207606,63.8194046946686,63.5588524841452,63.2802602697772,62.9748102437922,62.6268491612687,62.2400368111599,61.8400985730562,61.4607949663286,61.0879724896863,60.685565292786,60.254560271933,59.7829352406019,59.3017988892854,58.8384581557095,58.3750284439848,57.9051365634472,57.433559542917,56.9963714860468,56.6256126111939,56.3546668780625,56.1922783212828,56.0868723571096,55.9732762411572,55.8644592427226,55.7543621214315,55.6112391046053,55.4071736223346,55.1353088624017,54.7600781645305,54.2701483886344
Argentina,ARG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.2859601057883,14.5012085616367,14.7178441143347,14.9138645948749,15.0948109993798,15.2533840857786,15.3828334455061,15.480292231615,15.5562413313973,15.6278173459838,15.6930390460489,15.7522514975543,15.8114088046499,15.8518786227603,15.895176894151,15.9676176971988,16.0532875790374,16.1336973953447,16.2218356832858,16.3403602427859,16.4672062333752,16.6106018126179,16.7881375330456,16.9753865156087,17.1500457105384,17.320406917436,17.4756701525715,17.6314486904682,17.8092816371001,17.9966224135175,18.1494169514824,18.2376748640653
Argentina,ARG,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,49.92731129162,49.5361622591238,49.1015605803339,48.6449878892703,48.1854492703975,47.7214261580136,47.2440157157627,46.7597445795449,46.2838572416589,45.8329776203449,45.3949334436374,44.9333137952317,44.443151467283,43.9310566178416,43.4066219951345,42.8708404585108,42.3217408649475,41.7714391681025,41.2117238596312,40.6560112432609,40.1584063778187,39.7440650654445,39.4041407882372,39.1114858415009,38.8232305306188,38.5440523252866,38.27869196886,37.9797904141372,37.5978919852346,37.1386864488841,36.6106612130481,36.0324735245691
Argentina,ARG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,1.05353119415741,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.19957474480252,..,..,..
