Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Age dependency ratio, old",SP.POP.DPND.OL,Argentina,ARG,14.2859601057883,15.5562413313973,15.6278173459838,15.6930390460489,15.7522514975543,15.8114088046499,15.8518786227603,15.895176894151,15.9676176971988,16.0532875790374,17.1500457105384,17.320406917436,17.4756701525715,17.6314486904682,17.8092816371001,17.9966224135175,18.1494169514824,18.2376748640653
"Age dependency ratio, old",SP.POP.DPND.OL,Colombia,COL,6.48746526417989,7.10920422895617,7.20371866575023,7.29943207775882,7.39563747429005,7.49190243987487,7.59357109835941,7.70552290372937,7.83294116356496,7.98602319575646,10.0380876982111,10.4115502772308,10.7808709846344,11.1231291892994,11.4521577256146,11.8097928155486,12.1719287431411,12.513154278594
"Age dependency ratio, old",SP.POP.DPND.OL,Costa Rica,CRI,8.16231983345265,9.06572637945085,9.15246589853916,9.25355670006867,9.36698703702129,9.49871691903857,9.64725050676905,9.80258860277865,9.96683492077426,10.14243449498,12.3214382477076,12.6781603521966,13.0563657817283,13.4660722225728,13.8997330193017,14.3538728221355,14.8347142333299,15.2787083508344
"Age dependency ratio, old",SP.POP.DPND.OL,Bolivia,BOL,6.77050494079839,8.75943230733721,8.91240328414225,9.02082575774442,8.96658500616483,8.77877958381648,8.60619420215618,8.45145864010978,8.31665399322846,8.20102323765446,7.88602470695893,7.8579720035016,7.84532162344346,7.84396454655172,7.8536485642925,7.87627655806107,7.82528068536507,7.67597431337987
"Age dependency ratio, young",SP.POP.DPND.YG,Argentina,ARG,49.92731129162,46.2838572416589,45.8329776203449,45.3949334436374,44.9333137952317,44.443151467283,43.9310566178416,43.4066219951345,42.8708404585108,42.3217408649475,38.8232305306188,38.5440523252866,38.27869196886,37.9797904141372,37.5978919852346,37.1386864488841,36.6106612130481,36.0324735245691
"Age dependency ratio, young",SP.POP.DPND.YG,Colombia,COL,60.6679460174669,54.058104292341,53.0615393126988,52.0499476402049,51.0128504606935,49.9431753239053,48.8462106920534,47.7146499739824,46.5519227288434,45.3473930665389,36.4550687965934,35.5849949883112,34.7529468975853,33.8684863269838,32.9526969914464,32.141525545825,31.4952355758265,30.9911544527494
"Age dependency ratio, young",SP.POP.DPND.YG,Costa Rica,CRI,59.8239104371868,51.7869048982038,50.2967938741614,48.7944019036324,47.2965900772027,45.8054252550717,44.3358770431597,42.9236106846571,41.5807926963086,40.3335844605416,33.5108765676647,32.8782898747057,32.276099609573,31.7573255948197,31.3072893681303,30.8475287787966,30.3427341083149,29.8144065095947
"Age dependency ratio, young",SP.POP.DPND.YG,Bolivia,BOL,73.1348951919974,69.5007489056813,68.8438499004011,68.106873728641,67.236443416525,66.2368577273093,65.1579534019958,64.0348211070678,62.886841867441,61.7685510806621,54.1852808140719,53.3015657206233,52.4627604095501,51.6557137491253,50.863598728009,50.0877785606247,49.35909000763,48.6525395432627
"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,Argentina,ARG,339488.5,342761,344152.5,345039,342989,341336,340107.5,339921,342335,344025,360024,361105,357858,349508,335317.5,322817.5,313683.5,306044
"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,Colombia,COL,424873.5,423587.5,420996,418239,414819.5,410854.5,406065.5,400532,394529,387626.5,356706.5,354857,354220.5,354577.5,355623.5,357562,358004.5,356447.5
"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,Costa Rica,CRI,40643,38566.5,38263,38199.5,37774,36786,35980,35693.5,35561,35635,35042.5,34753.5,34292.5,33927.5,33545.5,32539,31053.5,30043.5
"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,Bolivia,BOL,116394.5,118914.5,119829.5,120203,119787.5,119708.5,120163,120674.5,121262,122785.5,125852,125835,125774,125729,125705.5,125771.5,125975.5,126267.5
"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,Argentina,ARG,356053.5,360258.5,361938.5,362806,360480.5,358749,357675,357778,361021,363894.5,380909,381530,377580.5,368075.5,352600,339303,329595.5,321501
"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,Colombia,COL,441078.5,440620.5,438260,435695.5,432472,428630,423968,418336.5,411918.5,404669.5,371928,370064,369375.5,369662.5,370731.5,372810.5,373393,371845
"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,Costa Rica,CRI,42779.5,40390,40121,40070,39636,38631.5,37730.5,37329,37163,37231,36610,36305,35785.5,35397,35002.5,33919,32371.5,31338
"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,Bolivia,BOL,120318.5,122892.5,123888.5,124329.5,123948.5,123872,124327.5,124870.5,125542,127203,130587.5,130577,130526,130470.5,130433.5,130507,130729.5,131035
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Argentina,ARG,333710,343704,341810.5,343231.5,344138.5,342056.5,340370,339170.5,339007.5,341441,357676,359455.5,360550.5,357324,349000,334840.5,322367.5,313255.5
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Colombia,COL,418070,424897,421921,419383.5,416703,413378,409479.5,404742,399218,393143.5,357550,355419.5,354219,355223,356998.5,357992,359075.5,358934.5
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Costa Rica,CRI,40662,39006.5,38615,38300,38221,37782.5,36787.5,35979,35690.5,35556,35364.5,35027.5,34739.5,34279.5,33916.5,33536,32525,31035
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Bolivia,BOL,110072,115214,115690,116862,117526,117383,117490,118106.5,118764.5,119481.5,124739.5,124877.5,124901.5,124876.5,124866.5,124878,124995.5,125252
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Argentina,ARG,349714.5,360903.5,359156.5,360852.5,361741,359394,357640,356593.5,356718.5,359983.5,378812,380216.5,380855.5,376932.5,367459.5,352023.5,338758.5,329078.5
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Colombia,COL,433458.5,441401.5,438646,436360,433890,430758.5,426967,422354.5,416743.5,410276.5,372591.5,370481.5,369257,370209,371922.5,372941,374171.5,374183.5
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Costa Rica,CRI,42770.5,40813,40420,40140,40075.5,39629.5,38618.5,37716,37313,37145,36917.5,36585.5,36283,35765.5,35378.5,34985.5,33897.5,32346.5
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Bolivia,BOL,113803.5,119392.5,119825.5,121062.5,121755,121613.5,121720.5,122336,123021,123820.5,129513.5,129654,129674.5,129649.5,129619.5,129608.5,129726,129994.5
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Argentina,ARG,330688.5,347105,343300,341420.5,342851,343722.5,341607,339936,338752.5,338606,355262.5,357499.5,359286,360386.5,357166.5,348848.5,334697.5,322234
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Colombia,COL,412671,426806,424137,421166,418654.5,416019,412724,408848.5,404104.5,398473,358787.5,356723,355190,355408,357608.5,359331.5,359583,360153.5
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Costa Rica,CRI,40641,39352,39080,38678,38349,38257,37811,36813.5,36002.5,35711.5,35720.5,35373,35037,34750,34290.5,33927.5,33541.5,32525.5
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Bolivia,BOL,106182.5,113252,113763.5,114341.5,115627.5,116396.5,116324.5,116498.5,117175,117884,123932,124197.5,124358,124402,124396.5,124404.5,124446.5,124594.5
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Argentina,ARG,346230,364500,360445.5,358711,360414.5,361274,358902.5,357164.5,356131,356270.5,376479,378593.5,380003,380649.5,376735.5,367270.5,351843.5,338591.5
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Colombia,COL,427542.5,442839,440425,437688.5,435440,433024,429932.5,426173.5,421564,415857.5,373819.5,371693,370181.5,370381,372536.5,374199,374475.5,375199
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Costa Rica,CRI,42742.5,41183,40878.5,40475.5,40183,40106,39652.5,38638.5,37734.5,37330,37295.5,36923,36592,36290,35773,35387,34988.5,33895.5
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Bolivia,BOL,110058.5,117723,118086,118612.5,119930.5,120699,120625.5,120796,121466,122198.5,128744,128999.5,129157.5,129192,129181,129164,129179,129323
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Argentina,ARG,327880.5,350088.5,346827,343032,341160,342560.5,343403,341294,339632.5,338467.5,352770,355153.5,357393.5,359182,360285.5,357071.5,348751.5,334599.5
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Colombia,COL,407969.5,428277.5,426380.5,423706,420749,418265.5,415644,412359.5,408471.5,403598.5,360434,358100,356592,356292,357523,359676.5,360730.5,360508.5
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Costa Rica,CRI,40512.5,39780.5,39418,39136.5,38723,38384,38285,37835.5,36835.5,36023.5,35892.5,35730,35383,35047.5,34761.5,34302.5,33934,33543
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Bolivia,BOL,102824.5,111517,112284,112859.5,113520,114877,115685.5,115654,115865,116573.5,123207.5,123543.5,123824.5,123999,124054.5,124059.5,124091,124156.5
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Argentina,ARG,342950.5,367717,364158.5,360116,358388.5,360067,360904.5,358545.5,356820.5,355802,373698,376333,378450.5,379862,380514,376607.5,367142.5,351717
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Colombia,COL,422617,443906,442296,439882,437165.5,434950,432553,429478,425712.5,420975,375619,373073.5,371513,371246.5,372466.5,374576.5,375562,375358
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Costa Rica,CRI,42584,41644,41244,40930.5,40517,40213.5,40129.5,39674,38659,37753.5,37516.5,37303,36931,36601.5,36300,35783,35392,34989
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Bolivia,BOL,106665,116080,116794.5,117218.5,117800,119161.5,119969.5,119939.5,120149,120851,128009,128342,128610.5,128778.5,128822,128821,128825,128861
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Argentina,ARG,325467.5,349965.5,349888.5,346633.5,342844.5,340949.5,342327,343173.5,341069,339420,349434.5,352704,355088,357328.5,359117.5,360224,357004,348676.5
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Colombia,COL,403272.5,429070.5,427903,426000,423337,420402,417929,415317,412023,408000,362774,359766.5,357948.5,357514,358075,359266.5,360863,361524
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Costa Rica,CRI,40211.5,40063.5,39839,39469,39177.5,38754.5,38409,38307.5,37856.5,36855.5,36286,35902.5,35740,35393.5,35058.5,34772.5,34309,33936.5
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Bolivia,BOL,99839,110444,110853.5,111660.5,112295,113010.5,114391,115221,115212.5,115446.5,122443,122925,123272,123562.5,123743,123805,123828.5,123877.5
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Argentina,ARG,340035.5,367328.5,367456,363905,359870.5,358126,359786,360629.5,358280,356570,369897.5,373598.5,376235.5,378354,379766.5,380423.5,376515.5,367044
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Colombia,COL,417720,444346,443416.5,441803.5,439405.5,436717,434516.5,432133,429053.5,425149,378107,374869,372861,372393,372994.5,374178,375729.5,376318.5
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Costa Rica,CRI,42240.5,41968,41700,41292,40968.5,40545.5,40236.5,40150,39692,38676,37929,37524.5,37311.5,36940.5,36612,36311,35790,35395
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Bolivia,BOL,103570,115042,115416,116168.5,116625,117234.5,118619.5,119453,119451,119685,127189,127691,128033.5,128310,128485.5,128536,128551,128572.5
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Argentina,ARG,323865,347135.5,349905,349834.5,346588,342733.5,340772,342152.5,343003,340904,345009,349394,352662.5,355045,357287,359077,360174.5,356946
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Colombia,COL,398842,428440.5,428713.5,427540,425647,423003.5,420078,417613,414993.5,411565.5,365875.5,362121.5,359589.5,358706.5,359003.5,359531,360265,361541
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Costa Rica,CRI,39486.5,40255.5,40115,39884,39505.5,39206,38777.5,38429,38326,37874.5,36768,36295,35912,35750,35403.5,35069,34779,34311.5
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Bolivia,BOL,97215,109518.5,109967,110405,111257,111935.5,112668.5,114060,114902.5,114910,121670,122231.5,122721,123075.5,123370,123554,123630.5,123668
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Argentina,ARG,337705,364006,367128,367257,363711.5,359666,357905,359569.5,360419.5,358081.5,365210.5,369828,373529.5,376168,378286.5,379700,380354,376438
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Colombia,COL,412958,443384.5,443873.5,442940,441340,438964.5,436288,434100.5,431716,428491.5,381380.5,377348.5,374617.5,373569,373841.5,374413.5,375143.5,376376
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Costa Rica,CRI,41441.5,42212,42017.5,41742,41325,40994,40566.5,40255.5,40167,39708,38429,37937,37533,37320.5,36950,36622,36317,35792
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Bolivia,BOL,100850.5,114112.5,114553.5,114954.5,115725.5,116198,116825.5,118227,119078,119093.5,126340,126936.5,127445.5,127793.5,128074.5,128255,128319,128348.5
"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,Argentina,ARG,323183.5,344172,347075.5,349847,349781,346491,342591.5,340633,342018,342870.5,342530.5,344983,349366.5,352632,355015.5,357257.5,359039,360128.5
"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,Colombia,COL,394499.5,426524.5,428120,428387,427222.5,425345,422709.5,419791.5,417320.5,414567,370122,365248.5,361934,360218.5,359957.5,360226,360372.5,360841
"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,Costa Rica,CRI,38455,40465.5,40299.5,40154,39915,39529,39226,38795,38445,38341.5,36607.5,36776.5,36303,35920.5,35759,35412.5,35074.5,34781
"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,Bolivia,BOL,94854.5,108396.5,109156,109625,110103,110993,111683.5,112425.5,113824,114676,121017.5,121507.5,122075.5,122570.5,122927,123223.5,123419,123506
"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,Argentina,ARG,336118.5,360784,363826.5,366946.5,367077,363534,359483.5,357727,359397,360255.5,362963.5,365159.5,369776.5,373478.5,376116,378234.5,379647,380293.5
"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,Colombia,COL,408283.5,441381.5,442963.5,443445.5,442521.5,440939.5,438574,435909,433721,431189,385752.5,380644.5,377088,375202,374784.5,375031,375226.5,375693
"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,Costa Rica,CRI,40309,42481,42254,42053.5,41770.5,41347,41012,40582.5,40269.5,40180,38257,38437,37945,37541,37329,36959,36627.5,36319
"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,Bolivia,BOL,98398,112832.5,113739,114198.5,114613,115395,115880,116520,117933,118795.5,125584,126135.5,126737,127251,127603,127887.5,128078.5,128153.5
"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN,Argentina,ARG,323322,341439.5,344111,347015,349789,349693,346370.5,342473.5,340521,341907.5,342415,342508.5,344960,349341,352607.5,354991.5,357226.5,359000
"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN,Colombia,COL,390547,423440.5,426254,427843,428117.5,426965,425093.5,422464,419541.5,416934.5,375249,369523.5,365060.5,362463,361277,360991,360937,360859.5
"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN,Costa Rica,CRI,37359.5,40756.5,40502.5,40331.5,40179.5,39935,39546,39240.5,38808.5,38458.5,36019,36613.5,36783.5,36310.5,35928,35767.5,35418,35076.5
"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN,Bolivia,BOL,92799.5,107101,108101.5,108877,109384.5,109899.5,110798,111494.5,112242,113647,120391,120888,121382.5,121954.5,122451,122809,123115,123319.5
"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN,Argentina,ARG,335349.5,357703,360635.5,363676,366795.5,366924.5,363374,359328.5,357579,359257,362812,362920,365115.5,369733.5,373435,376072,378190,379596
"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN,Colombia,COL,404078.5,438397,441035,442609.5,443098.5,442187.5,440612,438255,435587.5,433249,391094,385056.5,380395.5,377584,376235.5,375795,375721,375692
"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN,Costa Rica,CRI,39121.5,42830,42515.5,42284,42077,41788,41361.5,41024.5,40593.5,40280.5,37612,38263,38443,37951.5,37548.5,37337,36964,36629.5
"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN,Bolivia,BOL,96268,111326,112532,113452.5,113924.5,114349,115139.5,115635,116285,117705.5,124849,125415.5,125971.5,126576.5,127093,127447.5,127740.5,127941
"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN,Argentina,ARG,323891.5,336823.5,341385,344056.5,346962.5,349709.5,349583,346262,342371,340422,342269.5,342391.5,342485,344935.5,349316.5,352583.5,354962.5,357190
"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN,Colombia,COL,386179,419272,423221.5,426028.5,427623.5,427908,426760.5,424893.5,422258.5,419199,381414,374681.5,369341.5,365511.5,363365.5,362158,361594.5,361345
"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN,Costa Rica,CRI,36242.5,40925.5,40787.5,40529.5,40353.5,40196.5,39949,39558,39251.5,38819,35704,36025,36619.5,36789,36316,35934,35771,35419.5
"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN,Bolivia,BOL,90934,105493,106840.5,107855.5,108672,109218.5,109741,110643.5,111344.5,112098.5,118787.5,120283,120784.5,121282,121855,122352.5,122718,123031
"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN,Argentina,ARG,335804.5,352645,357583,360513.5,363554,366662,366774,363228.5,359191.5,357450.5,361787.5,362770,362878.5,365075,369692,373393.5,376031.5,378144
"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN,Colombia,COL,399435,434064.5,438128.5,440759.5,442339,442836.5,441929,440358.5,437997.5,435175.5,397515,390440.5,384828,380829.5,378477,377107,376384,376110
"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN,Costa Rica,CRI,37920.5,43005,42857.5,42539,42302,42090,41798.5,41371,41033.5,40602,37275.5,37617,38268,38448,37956.5,37553.5,37340,36965.5
"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN,Bolivia,BOL,94354.5,109484.5,111056.5,112274,113214.5,113705.5,114137.5,114935.5,115438.5,116095.5,123091.5,124705.5,125276,125835.5,126442.5,126960.5,127321.5,127623
"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN,Argentina,ARG,324272.5,332319.5,336761.5,341323,343996,346881.5,349604.5,349479.5,346164.5,342278.5,340394.5,342242.5,342365,342458,344909.5,349292.5,352556,354926
"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN,Colombia,COL,380429,414701.5,419095.5,423038,425850.5,427454,427742,426598,424725.5,421952.5,387881,380873.5,374506,369732.5,366293,364126.5,362674,361937
"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN,Costa Rica,CRI,35177,40948,40951.5,40810,40547.5,40367.5,40207.5,39958.5,39567,39260,35645.5,35708.5,36029.5,36624,36793.5,36321,35937,35772
"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN,Bolivia,BOL,89072,103630,105261,106621,107675,108529.5,109082,109608.5,110514.5,111220.5,116961.5,118693.5,120192,120696.5,121195.5,121768.5,122272,122644
"Age population, age 09, male, interpolated",SP.POP.AG09.MA.IN,Argentina,ARG,336764.5,347730,352539,357477.5,360409.5,363431.5,366517,366633.5,363096.5,359068,358704.5,361743.5,362726.5,362836.5,365033,369650.5,373353.5,375986.5
